date,solana
2019-12-29,85
2020-01-05,85
2020-01-12,94
2020-01-19,97
2020-01-26,86
2020-02-02,83
2020-02-09,86
2020-02-16,89
2020-02-23,94
2020-03-01,88
2020-03-08,96
2020-03-15,77
2020-03-22,74
2020-03-29,68
2020-04-05,83
2020-04-12,86
2020-04-19,68
2020-04-26,71
2020-05-03,73
2020-05-10,72
2020-05-17,76
2020-05-24,82
2020-05-31,84
2020-06-07,88
2020-06-14,84
2020-06-21,89
2020-06-28,87
2020-07-05,85
2020-07-12,85
2020-07-19,95
2020-07-26,92
2020-08-02,95
2020-08-09,100
2020-08-16,92
2020-08-23,88
2020-08-30,88
2020-09-06,87
2020-09-13,91
2020-09-20,76
2020-09-27,79
2020-10-04,78
2020-10-11,76
2020-10-18,86
2020-10-25,73
2020-11-01,78
2020-11-08,77
2020-11-15,75
2020-11-22,74
2020-11-29,80
2020-12-06,77
2020-12-13,73
2020-12-20,71
2020-12-27,84
2021-01-03,9
2021-01-10,8
2021-01-17,8
2021-01-24,7
2021-01-31,8
2021-02-07,9
2021-02-14,9
2021-02-21,10
2021-02-28,9
2021-03-07,9
2021-03-14,8
2021-03-21,9
2021-03-28,12
2021-04-04,11
2021-04-11,11
2021-04-18,15
2021-04-25,23
2021-05-02,18
2021-05-09,20
2021-05-16,23
2021-05-23,15
2021-05-30,15
2021-06-06,18
2021-06-13,14
2021-06-20,14
2021-06-27,13
2021-07-04,11
2021-07-11,11
2021-07-18,12
2021-07-25,11
2021-08-01,12
2021-08-08,14
2021-08-15,36
2021-08-22,34
2021-08-29,79
2021-09-05,100
2021-09-12,72
2021-09-19,44
2021-09-26,36
2021-10-03,43
2021-10-10,39
2021-10-17,49
2021-10-24,53
2021-10-31,70
2021-11-07,74
2021-11-14,62
2021-11-21,53
2021-11-28,59
2021-12-05,50
2021-12-12,50
2021-12-19,46
2021-12-26,47
2022-01-02,89
2022-01-09,81
2022-01-16,87
2022-01-23,100
2022-01-30,96
2022-02-06,74
2022-02-13,62
2022-02-20,63
2022-02-27,60
2022-03-06,52
2022-03-13,48
2022-03-20,55
2022-03-27,77
2022-04-03,64
2022-04-10,58
2022-04-17,58
2022-04-24,60
2022-05-01,63
2022-05-08,83
2022-05-15,63
2022-05-22,59
2022-05-29,68
2022-06-05,52
2022-06-12,56
2022-06-19,58
2022-06-26,46
2022-07-03,41
2022-07-10,37
2022-07-17,42
2022-07-24,37
2022-07-31,51
2022-08-07,37
2022-08-14,35
2022-08-21,31
2022-08-28,32
2022-09-04,31
2022-09-11,31
2022-09-18,29
2022-09-25,29
2022-10-02,27
2022-10-09,26
2022-10-16,24
2022-10-23,26
2022-10-30,31
2022-11-06,95
2022-11-13,54
2022-11-20,35
2022-11-27,26
2022-12-04,25
2022-12-11,24
2022-12-18,23
2022-12-25,40
2023-01-01,33
2023-01-08,34
2023-01-15,33
2023-01-22,24
2023-01-29,23
2023-02-05,20
2023-02-12,21
2023-02-19,22
2023-02-26,18
2023-03-05,19
2023-03-12,19
2023-03-19,19
2023-03-26,18
2023-04-02,16
2023-04-09,22
2023-04-16,21
2023-04-23,18
2023-04-30,16
2023-05-07,16
2023-05-14,15
2023-05-21,16
2023-05-28,15
2023-06-04,20
2023-06-11,21
2023-06-18,16
2023-06-25,17
2023-07-02,18
2023-07-09,24
2023-07-16,20
2023-07-23,16
2023-07-30,17
2023-08-06,16
2023-08-13,19
2023-08-20,16
2023-08-27,14
2023-09-03,17
2023-09-10,18
2023-09-17,15
2023-09-24,12
2023-10-01,18
2023-10-08,15
2023-10-15,20
2023-10-22,26
2023-10-29,42
2023-11-05,44
2023-11-12,50
2023-11-19,37
2023-11-26,34
2023-12-03,51
2023-12-10,52
2023-12-17,79
2023-12-24,100
2023-12-31,65
2024-01-01,38
2024-01-02,51
2024-01-03,45
2024-01-04,39
2024-01-05,37
2024-01-06,35
2024-01-07,32
2024-01-08,37
2024-01-09,37
2024-01-10,38
2024-01-11,39
2024-01-12,32
2024-01-13,30
2024-01-14,31
2024-01-15,30
2024-01-16,33
2024-01-17,35
2024-01-18,31
2024-01-19,31
2024-01-20,29
2024-01-21,29
2024-01-22,30
2024-01-23,30
2024-01-24,27
2024-01-25,27
2024-01-26,31
2024-01-27,30
2024-01-28,31
2024-01-29,33
2024-01-30,38
2024-01-31,39
2024-02-01,31
2024-02-02,30
2024-02-03,26
2024-02-04,26
2024-02-05,27
2024-02-06,38
2024-02-07,30
2024-02-08,31
2024-02-09,31
2024-02-10,30
2024-02-11,29
2024-02-12,30
2024-02-13,34
2024-02-14,35
2024-02-15,33
2024-02-16,30
2024-02-17,26
2024-02-18,25
2024-02-19,29
2024-02-20,25
2024-02-21,26
2024-02-22,25
2024-02-23,25
2024-02-24,23
2024-02-25,22
2024-02-26,27
2024-02-27,33
2024-02-28,39
2024-02-29,53
2024-03-01,44
2024-03-02,39
2024-03-03,38
2024-03-04,44
2024-03-05,46
2024-03-06,43
2024-03-07,54
2024-03-08,54
2024-03-09,53
2024-03-10,50
2024-03-11,54
2024-03-12,47
2024-03-13,51
2024-03-14,64
2024-03-15,75
2024-03-16,81
2024-03-17,70
2024-03-18,100
2024-03-19,73
2024-03-20,60
2024-03-21,55
2024-03-22,50
2024-03-23,49
2024-03-24,56
2024-03-25,58
2024-03-26,52
2024-03-27,48
2024-03-28,53
2024-03-29,55
2024-03-30,49
2024-03-31,45
2024-04-01,52
2024-04-02,50
2024-04-03,46
2024-04-04,46
2024-04-05,54
2024-04-06,48
2024-04-07,46
2024-04-08,48
2024-04-09,44
2024-04-10,41
2024-04-11,39
2024-04-12,44
2024-04-13,52
2024-04-14,44
2024-04-15,41
2024-04-16,39
2024-04-17,35
2024-04-18,34
2024-04-19,34
2024-04-20,34
2024-04-21,32
2024-04-22,34
2024-04-23,33
2024-04-24,32
2024-04-25,31
2024-04-26,29
2024-04-27,27
2024-04-28,28
2024-04-29,30
2024-04-30,30
